,CIDADE,QUANTIDADE,FORMATO
3394,Fremont,27.0,Disk
3400,Garden Valley,1.0,Formation
3409,Lake Forest,11.0,Disk
3418,Auburn,14.0,Circle
3425,Reseda,11.0,Rectangle
3438,Palm Springs,36.0,Cylinder
3441,San Francisco,125.0,Egg
3443,Fresno,96.0,Triangle
3453,South Pasadena,3.0,Fireball
3457,Yosemite Valley,1.0,Light
3468,Lodi,15.0,Triangle
3474,Laguna Hills,14.0,Unknown
3491,Long Beach,94.0,Light
3516,Torrance,33.0,Oval
3519,Sherman Oaks,22.0,Circle
3521,San Jacinto,15.0,Triangle
3533,Vista,21.0,Unknown
3540,Yreka,4.0,Light
3542,Lancster,1.0,Light
3548,West Los Angeles,8.0,Light
3550,Mount Shasta,8.0,Light
3553,Quail Valley,3.0,Triangle
3558,New York City (Manhattan),1.0,Unknown
3560,Madera,18.0,Disk
3567,San Clemente,24.0,Changing
3592,Los Angeles,254.0,Chevron
3593,San Francisco,125.0,Light
3598,San Diego,277.0,Sphere
3599,Chula Vista,27.0,Other
3600,San Francisco,125.0,Light
3604,Oakland,49.0,Disk
3610,Los Alamos,3.0,Changing
3612,Monterey,25.0,Rectangle
3613,Napa,28.0,Fireball
3616,Moreno Valley,26.0,Circle
3620,Davis,23.0,Light
3638,Redlands,21.0,Triangle
3642,Escondido,56.0,Triangle
3648,Landers,7.0,Circle
3661,Lake Elsinore,23.0,Fireball
3662,Livermore,18.0,Fireball
3664,Claremont,10.0,Oval
3665,Lake Elsinore,23.0,Sphere
3670,Cupertino,5.0,Cylinder
3684,Harbor City,4.0,Cylinder
3694,Oakley,16.0,Other
3695,Reggae on the River,1.0,Light
3697,San Jose,160.0,Light
3698,Ontario,12.0,Light
3701,El Cajon,49.0,Formation
3703,Mar Vista (West Los Angeles),1.0,Light
3709,San Diego,277.0,Cylinder
3719,North Hollywood/Burbank,1.0,Fireball
3726,Orange,30.0,Light
3728,San Leandro,14.0,Disk
3730,Santa Monica,23.0,Sphere
3742,Desolation Wilderness,2.0,
3762,Valencia,8.0,Triangle
3781,Cameron Park,3.0,Disk
3783,Culver City,11.0,Circle
3786,Oxnard,40.0,Circle
3788,Boonville,2.0,Formation
3792,Buena Park,14.0,Formation
3797,Los Angeles,254.0,Changing
3813,Strawberry,1.0,Triangle
3819,Forestville,2.0,Formation
3820,Forestville,2.0,Formation
3822,Imperial Beach,8.0,Unknown
3836,San Jose,160.0,Circle
3837,Ukiah,14.0,Triangle
3850,Los Angeles,254.0,Sphere
3852,Lodi,15.0,Other
3860,Salinas,24.0,Circle
3878,Foster City,4.0,Light
3888,Simi Valley,34.0,Light
3890,Santa Maria,20.0,Teardrop
3892,Mission Viejo,24.0,Other
3895,San Francisco,125.0,Other
3898,San Jose,160.0,Light
3930,San Diego,277.0,Fireball
3943,La Mesa,19.0,Light
3945,Vandenberg Village,2.0,Disk
3946,Gonzales,2.0,Changing
3955,La Crescenta,5.0,Circle
3959,Monterey Park,4.0,Fireball
3975,San Francisco,125.0,Triangle
3978,Cathedral City,15.0,Light
3979,Arbuckle,3.0,Fireball
3989,San Jose,160.0,
3990,Sebastopol,11.0,Light
3993,San Diego,277.0,Cigar
4021,Sacramento,177.0,Light
4024,San Diego,277.0,Sphere
4026,Lancaster,30.0,Disk
4028,Sacramento,177.0,Unknown
4033,Orange,30.0,Other
4035,Lakewood,15.0,Fireball
4043,Oceanside,32.0,Unknown
4049,Huntington Beach,64.0,Changing
4050,Huntington Beach,64.0,Light
4091,Roseville,38.0,Sphere
4112,Montebello,9.0,Other
4119,Sacramento,177.0,Triangle
4128,Hollister,22.0,Circle
4129,Hollister,22.0,Circle
4139,Orinda,3.0,Disk
4140,Hollister,22.0,Other
4142,Anaheim,62.0,Cigar
4200,Long Beach,94.0,Circle
4214,El Centro,14.0,Circle
4216,San Bernadino Mtns. (Twin Peaks),1.0,Triangle
4240,Moss Landing,1.0,Oval
4249,Santa Clarita,18.0,Light
4264,Tustin,13.0,Changing
4274,Huntington Beach,64.0,Circle
4281,Long Beach,94.0,Formation
4282,Riverside,68.0,Fireball
4283,San Diego,277.0,Light
4286,Los Angeles,254.0,Unknown
4289,Van Nuys,19.0,Circle
